Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150
9089,-7.9375,45.63750076,-13.22500038,-22.0625,-0.550000012,7.400000095,-3.387500048,-2.600000143,-7.412499905,52.85000229,229.2875061,74.08750153,56.04999924,125.8499985,215.6000061,11.875,-31.92500114,1.375,-78.63750458,6.712500095,252.0625,2.612499952,213.6750031,3.875,226.0625,-24.01250076,-20.76250076,-49.77500153,17.0625,45.52500153,-66.96250153,50.98749924,53.13750076,167.5625,-1.8125,9.912500381,6.5625,-77.09999847,1.375,-0.025,-19.92500114,-4.125,5.287499905,72.88750458,-2.025000095,1.649999976,6.825000286,-2.337500095,3.087500095,51,69,0,45.63750076,13.22500038,0,0,7.9375,0.550000012,0,0,7.400000095,0,22.0625,0,52.85000229,0,0,14.2969141,0,0,0,74.08750153,0,0,13.95872974,125.8499985,0,153.5973358,11.875,1.242786288,0,0,0,0,1.375,77.10029602,0,0,6.712500095,0,0,0,20.11555481,2.612499952,0,72.85834503,3.875,6.761995792,0,74.78405762,681.996521,389.3317566,63.37566376,378.2569885,34.01006317,748.8753662,950.092041,615.744873,816.5782471,7.650933266,141.1794891,20.91400528,18.08028412,53.11828995,4.194737911,16.73736191,18.46233368,1.776849389,1.911741614,111.8242188,68.620224,53.5482254,174.0792084,3037.97998,245.4416046,0,23.22210121,63.9436264,15.55344772,1163.897949,1052.261475,348.7007751,772.7476196,185079.4688,3914.081055,16.77538872,372.4580383,747.7886963,119.5864639,-1.913614631,-101.0014038,-2.23606658,33.60758591,-1502.977539,3.783385515,0,-1.093823791,0.594230175,0.259037763
9090,-7.987500191,46.07500076,-12.91250038,-22.39999962,-0.0125,7.575000286,-3.375,-2.600000143,-7.412499905,53.71250153,228.9625092,75.03749847,56.40000153,106.75,201.6125031,12.48750019,-30.8125,1.375,-78.73750305,6.675000191,250.1500092,3.087500095,222.3625031,3.924999952,227.1875,-24.41250038,-21.27499962,-50.5625,17.3125,46.375,-68.02500153,-32.41250229,62.86249924,-129.1875,-2.299999952,10.51249981,6.787499905,-77.11250305,1.375,-0.037500001,-20.03750038,-4.287499905,5.112500191,72.88750458,-2.662500143,1.5625,6.974999905,-2.299999952,3.174999952,49,64,0,46.07500076,12.91250038,0,0,7.987500191,0.0125,0,0,7.575000286,0,22.39999962,0,53.71250153,0,0,14.27384281,0,0,0,75.03749847,0,0,14.93206882,106.75,0,136.7059479,12.48750019,1.674844623,0,0,0,0,1.375,77.11295319,0,0,6.675000191,0,0,0,20.22900391,3.087500095,0,72.85118866,3.924999952,6.911248684,0,78.67507172,998.3463745,504.8326416,54.84515381,469.8492126,26.60130119,726.9716187,894.1482544,593.7000122,761.1096802,9.314651489,196.541153,129.3919373,14.72531605,59.99564362,3.14739275,17.64122963,20.95028496,1.339670897,0.313474506,108.3795853,64.74145508,49.88023376,178.3912048,4291.125488,228.1006775,1.098695517,25.03078461,64.77050781,14.79874516,603.1199951,1002.253418,369.9107666,1031.872437,127644.75,1719.129883,108.7708664,260.0322876,273.3346558,148.8739319,-3.196738482,-144.2032013,152.3409576,26.3751545,-2360.588135,1.536441326,-0.168481186,1.427733898,-0.247473836,-0.044852395
9091,-8.125,46.45000076,-12.57499981,-22.6875,0.525000036,7.724999905,-3.375,-2.600000143,-7.412499905,54.52500153,228.6000061,75.92500305,56.77500153,97.40000153,180.6875,13.10000038,-30.02499962,1.375,-78.84999847,6.662499905,248.0875092,3.612499952,228.4375,3.962500095,228.6500092,-24.83749962,-21.77499962,-51.32500076,17.46249962,47.28750229,-69,-84.0625,35.0625,-99.05000305,-2.674999952,11.08750057,7.037499905,-77.125,1.375,-0.037500001,-20.10000038,-4.474999905,4.9375,72.875,-3.287500143,1.487500072,7.099999905,-2.237499952,3.275000095,47,59,0,46.45000076,12.57499981,0,0,8.125,0,0.525000036,0,7.724999905,0,22.6875,0,54.52500153,0,0,14.27767086,0,0,0,75.92500305,0,0,16.02962303,97.40000153,0,124.6912613,13.10000038,1.99108994,0,0,0,0,1.375,77.12545013,0,0,6.662499905,0,0,0,20.29303551,3.612499952,0,72.83231354,3.962500095,7.036026955,0,78.51589203,1049.315186,658.1552124,53.26637268,641.4024048,24.88059235,704.3825684,839.6130981,571.2164917,705.9889526,8.204661369,224.2775269,157.5857697,14.01294899,78.90506744,2.890262604,16.19834518,22.64598656,3.2547791,1.278144836,102.3635864,62.11616516,48.85057068,180.9126434,4295.882324,219.6177826,1.237203836,25.81916618,62.38207245,15.05657387,694.7672119,471.5641479,134.4281616,711.2442017,2149.965088,842.6098633,160.6955414,457.8086243,365.0886841,177.79245,-1.587873578,45.95351791,205.2161255,23.00463676,-2008.701294,1.725818753,-0.003916104,-0.766001046,2.890241623,0.056562848
9092,-8.262499809,46.78750229,-12.30000019,-22.92500114,1.075000048,7.887500286,-3.362499952,-2.600000143,-7.412499905,55.33750153,228.2250061,76.76250458,57.15000153,99.61250305,165.4750061,13.77500057,-29.16250038,1.375,-78.95000458,6.662499905,245.9000092,4.162499905,232.8000031,4.012500286,230.4250031,-25.30000114,-22.27499962,-52.07500076,17.53750038,48.28750229,-69.86250305,-102.6624985,10.76249981,-99.78749847,-3.012500048,11.72500038,7.287499905,-77.125,1.375,-0.037500001,-20.11250114,-4.650000095,4.762500286,72.88750458,-3.912500143,1.425000072,7.150000095,-2.150000095,3.375,46,55,0,46.78750229,12.30000019,0,0,8.262499809,0,1.075000048,0,7.887500286,0,22.92500114,0,55.33750153,0,0,14.31233311,0,0,0,76.76250458,0,0,17.22889709,99.61250305,0,115.4252167,13.77500057,2.263230801,0,0,0,0,1.375,77.12545013,0,0,6.662499905,0,0,0,20.30597496,4.162499905,0,72.83882904,4.012500286,7.086651802,0,77.64091492,557.9221802,518.0096436,62.5796814,536.3319092,28.83546257,693.3860474,793.6651611,560.2728271,660.8103027,7.88757658,217.5015106,46.26346207,16.20498848,65.27561188,3.30998373,17.23117638,13.7162056,1.843130589,3.127115011,97.82726288,61.06576157,44.74283218,183.1585083,3039.721436,224.2887726,1.237483382,24.37985229,62.06086731,12.06657028,513.0365601,651.5133667,425.8892822,1472.263672,125214.2656,1250.310425,244.4190369,632.1289673,503.7714844,343.3507996,-3.868430853,182.5177155,-5.610704422,26.24285889,-19.60828018,1.149299264,-6.07E-06,4.386706829,1.226030946,-0.339776635
9093,-8.387499809,47.10000229,-12.07499981,-23.11250114,1.625,8.025000572,-3.350000143,-2.600000143,-7.400000095,59.88750076,225.7875061,77.52500153,57.51250076,99.91249847,164.0375061,14.52500057,-28.21249962,1.375,-79.0625,6.662499905,243.5124969,4.724999905,236.0124969,4.025000095,234.2875061,-28.13750076,-25.51250076,-56.22500229,17.52499962,49.40000153,-70.61250305,-106.6875,-4.1875,-99.9375,-3.299999952,12.44999981,7.537499905,-77.13750458,1.375,-0.037500001,-20.07500076,-4.849999905,4.575000286,72.92500305,-4.525000095,1.375,7.162499905,-1.925000072,3.537500143,45,52,0,47.10000229,12.07499981,0,0,8.387499809,0,1.625,0,8.025000572,0,23.11250114,0,59.88750076,0,0,14.3451767,0,0,0,77.52500153,0,0,18.55970573,99.91249847,0,101.7034836,14.52500057,2.476664066,0,0,0,0,1.375,77.13795471,0,0,6.662499905,0,0,0,20.26885223,4.724999905,0,72.87067413,4.025000095,7.103049755,0,79.1402359,641.6451416,1043.561768,54.98177719,835.6369629,24.12683105,679.7151489,765.8800049,548.4786377,629.5678101,7.862205982,277.7411194,284.5513306,13.94901848,107.795639,2.74190402,22.67934036,22.50212097,3.442082882,3.318197727,92.44119263,58.63368988,453.8839722,188.0396271,1219.911377,230.8201141,1.192031503,27.28863525,60.81712723,4.147540569,670.4899292,523.1876221,41702.62891,1267.266357,192678.1719,1127.113403,173.2890472,581.4262695,290.9675598,1186.440674,-2.709638119,60.02147675,-2303.113525,21.48910332,283.89505,0.964598775,-0.009418285,5.869828224,1.682477593,-1.578616619
9094,-8.525000572,47.36249924,-11.88749981,-23.25,2.1875,8.162500381,-3.350000143,-2.600000143,-7.400000095,66.8125,222.7250061,78.21250153,57.875,95.8125,170.0375061,15.3125,-27.35000038,1.375,-79.17500305,6.700000286,240.9750061,5.300000191,238.4125061,4.0625,239.5,-32.96250153,-29.95000076,-62.97500229,17.39999962,50.61249924,-71.22499847,-101.3875046,-13.82499981,-95.98750305,-3.5,13.22500038,7.787499905,-77.13750458,1.375,-0.037500001,-19.97500038,-5.0625,4.387500286,72.97499847,-5.137500286,1.325000048,7.137500286,-1.612500072,3.725000143,46,50,0,47.36249924,11.88749981,0,0,8.525000572,0,2.1875,0,8.162500381,0,23.25,0,66.8125,0,0,14.3539753,0,0,0,78.21250153,0,0,20.01939583,95.8125,0,86.05391693,15.3125,2.595860243,0,0,0,0,1.375,77.13795471,0,0,6.700000286,0,0,0,20.16905594,5.300000191,0,72.91555023,4.0625,7.085061073,0,77.58256531,338.3214722,607.9563599,56.11258316,489.1255188,25.3053875,695.4925537,734.37854,560.9051514,604.4246216,8.745816231,157.4850616,161.3023376,14.45411873,60.61918259,2.866587639,15.52781582,11.17582417,1.272264004,2.666595459,87.5515976,58.81637573,700.2902832,194.6243896,734.1292114,233.1017456,0,30.28049088,61.07397079,8.868618011,522.0973511,432.1050415,24445.39258,1363.826904,111717.5469,633.1826782,118.0111084,520.3927612,178.6916504,720.7113037,-2.92586112,9.415229797,-1952.596924,19.66500854,-694.0042725,2.034843922,0,3.780357361,1.306795478,-1.001425505
9095,-8.675000191,47.58750153,-11.73750019,-23.33749962,2.737499952,8.287500381,-3.337500095,-2.587500095,-7.400000095,68.75,222,78.86250305,58.26250076,94.30000305,173.6374969,16.16250038,-26.61250114,1.375,-79.27500153,6.737500191,238.4625092,5.862500191,240.2875061,4.125,242.6374969,-34.47500229,-31,-64.98750305,17.20000076,51.875,-71.77500153,-97.36250305,-13.13749981,-94.41249847,-3.662500143,14.05000019,8.0625,-77.15000153,1.375,-0.050000001,-19.82500076,-5.262500286,4.200000286,73.0625,-5.724999905,1.287500024,7.025000095,-1.4375,3.875,46,48,0,47.58750153,11.73750019,0,0,8.675000191,0,2.737499952,0,8.287500381,0,23.33749962,0,68.75,0,0,14.44102764,0,0,0,78.86250305,0,0,21.57607079,94.30000305,0,83.18251038,16.16250038,2.667360783,0,0,0,0,1.375,77.15060425,0,0,6.737500191,0,0,0,20.01810455,5.862500191,0,72.99812317,4.125,6.976368904,0,75.28870392,1452.009277,989.0019531,53.20436859,637.9173584,23.09105492,692.6693726,714.9838867,560.0543823,582.8425293,7.42506361,114.7551498,240.233017,13.37093735,58.3755188,2.636535645,17.20975876,11.24170303,2.759849787,1.962942719,82.12268066,57.64422607,152.8014221,196.4992828,413.7286987,233.8474121,0.427017152,31.2595005,58.76662827,5.831291199,585.9154053,609.2174072,54358.36328,654.6577759,61570.5625,676.2131348,42.27469635,655.9460449,439.961731,1230.720947,-2.297904253,8.643196106,861.7437134,18.02604103,373.3641052,1.847171068,-0.195459157,2.017760038,2.600059032,0.740504861
9096,-8.837500572,47.78750229,-11.625,-23.42500114,3.299999952,8.425000191,-3.337500095,-2.587500095,-7.400000095,58.32500076,226.5375061,79.48750305,58.6875,102.5750046,165.6875,17.11250114,-26.01250076,1.375,-79.38750458,6.775000095,236.1750031,6.412499905,241.8000031,4.212500095,240.4499969,-27.38750076,-24.14999962,-54.875,16.97500038,53.15000153,-72.30000305,-103.9625015,1.487500072,-102.5750046,-3.799999952,14.96250057,8.412500381,-77.16249847,1.375,-0.050000001,-19.57500076,-5.450000286,4.025000095,73.17500305,-6.287499905,1.262500048,6.800000191,-1.625,3.887500048,47,47,0,47.78750229,11.625,0,0,8.837500572,0,3.299999952,0,8.425000191,0,23.42500114,0,58.32500076,0,0,14.71223259,0,0,0,79.48750305,0,0,23.17300987,102.5750046,0,105.8183212,17.11250114,2.693319321,0,0,0,0,1.375,77.1631012,0,0,6.775000095,0,0,0,19.76665306,6.412499905,0,73.10565948,4.212500095,6.744847775,0,76.97398376,2970.919434,2528.169434,53.90617752,1705.586426,23.22473907,704.2026367,708.3949585,571.4324951,576.4584961,7.862905502,401.7211914,618.4765015,13.50484276,189.4889526,2.566979408,22.99024582,40.40392303,2.646687746,13.16758728,79.47412872,57.87067413,1196.578369,197.9949799,1042.300293,234.2483978,1.237211823,36.56961823,56.68876648,44.01037979,571.6253052,108.8127365,133341.9375,419.4986572,130945.5234,829.289856,109.2372818,872.2927246,296.9993286,3863.932373,-2.30735302,-2.376538992,-12146.21289,13.13655949,-2793.683594,3.330685377,-0.012727251,-15.84215355,1.886081338,-3.466943026
9097,-8.975000381,47.97500229,-11.57499981,-23.47500038,3.837500095,8.550000191,-3.325000048,-2.587500095,-7.400000095,32.95000076,252.4875031,80.125,59.15000153,102.7249985,139,18.17500114,-25.63750076,1.375,-79.48750305,6.837500095,234.1000061,6.925000191,242.9125061,4.400000095,230.4499969,-15.51249981,-1.274999976,-32.92499924,16.72500038,54.48749924,-72.82500458,-118.0500031,44.71250153,-108.0750046,-3.924999952,15.9375,8.850000381,-77.16249847,1.375,-0.050000001,-19.22500038,-5.612500191,3.900000095,73.38750458,-6.8125,1.25,6.362500191,-2.412500143,3.674999952,47,47,0,47.97500229,11.57499981,0,0,8.975000381,0,3.837500095,0,8.550000191,0,23.47500038,0,32.95000076,0,0,15.13572121,0,0,0,80.125,0,0,24.8672905,102.7249985,0,177.1438599,18.17500114,2.683714867,0,0,0,0,1.375,77.1631012,0,0,6.837500095,0,0,0,19.4162426,6.925000191,0,73.31310272,4.400000095,6.285092354,0,78.45046997,4216.538086,3882.494141,47.90312958,2611.423096,19.65076828,703.9920044,706.1004028,571.3577271,578.1611328,6.906108856,856.1780396,933.1014404,11.65396595,314.2652588,2.242221594,20.50214195,51.27455902,2.937942028,16.79996872,73.5065155,54.87331009,3216.520508,200.156189,2992.24707,236.3146057,1.237535357,42.18079376,56.43556976,104.2605515,730.3253174,558.6270142,200000.6719,332.7467651,195315.2031,1086.790649,244.4272919,1193.572144,1277.189575,6005.20459,-2.026939869,558.4452515,-51312.22656,16.41988754,-12030.73633,1.03627193,-2.61E-07,-17.19170761,2.54940486,-22.74366951
9098,-9.125,48.13750076,-11.5625,-23.5,4.375,8.675000191,-3.3125,-2.587500095,-7.400000095,35.67499924,-22.875,80.72499847,59.63750076,70.375,145.4000092,19.32500076,-25.42500114,1.375,-79.59999847,6.900000095,232.1750031,7.412499905,243.7750092,4.887500286,217.1750031,-14.125,35.36249924,-5.087500095,16.41250038,55.88750076,-73.30000305,106.9875031,65.53749847,35.8125,-4.025000095,16.97500038,9.362500191,-77.17500305,1.375,-0.050000001,-18.77499962,-5.762500286,3.787500143,73.66249847,-7.3125,1.262500048,5.762500286,-3.587500095,3.325000048,46,47,0,48.13750076,11.5625,0,0,9.125,0,4.375,0,8.675000191,0,23.5,35.67499924,0,0,0,15.74775124,0,0,0,80.72499847,0,0,26.66244888,70.375,130.4854889,0,19.32500076,2.624805689,0,0,0,0,1.375,77.17560577,0,0,6.900000095,0,0,0,18.96569252,7.412499905,0,73.58181763,4.887500286,5.658341885,0,75.49986267,3843.287354,4187.393555,51.6268158,2545.598389,22.0381012,692.7018433,701.314209,560.303833,571.7440796,7.7342062,613.7374878,1072.224731,12.84788799,223.0886383,2.451204538,23.49308395,41.29397964,2.946948528,11.70584869,70.15717316,54.79322433,4607.272949,205.065155,4303.264648,239.2946625,0.169144243,50.35968399,56.28225708,144.5329895,397.0275879,256.5297546,137685.6563,710.2333374,130081.0703,781.6105347,122.5622559,986.2965698,565.4470215,3991.016357,-2.113326311,136.5718079,-81681.3125,14.50231457,13142.97656,2.753108025,-0.013989161,-14.39195442,2.102231503,-23.71237755
9099,-9.275000572,48.26250076,-11.58750057,-23.5,4.925000191,8.800000191,-3.3125,-2.587500095,-7.400000095,79.17500305,5.575000286,81.28749847,60.16250229,78.95000458,207.9125061,20.55000114,-25.22500038,1.375,-79.71250153,6.950000286,230.4125061,7.887500286,244.7125092,5.6875,206.3625031,-59.88750076,65.28749847,63.32500076,16.0625,57.23749924,-73.75,120.8375015,14.60000038,78.57500458,-4.125,18.08749962,9.912500381,-77.1875,1.375,-0.050000001,-18.28750038,-5.887500286,3.6875,73.92500305,-7.787499905,1.25,5.137500286,-4.849999905,2.962500095,46,48,0,48.26250076,11.58750057,0,0,9.275000572,0,4.925000191,0,8.800000191,0,23.5,79.17500305,0,0,0,16.77296257,0,0,0,81.28749847,0,0,28.45682144,78.95000458,132.8035126,0,20.55000114,2.543407679,0,0,0,0,1.375,77.18810272,0,0,6.950000286,0,0,0,18.47719002,7.887500286,0,73.83992004,5.6875,5.012012005,0,75.46379852,6355.318359,6798.425781,53.72171021,4521.15625,23.50561333,692.1054077,708.4347534,560.178894,576.3327637,8.391253471,2759.884521,1274.251099,13.48679161,205.7799683,2.523129702,22.60004044,18.35467529,2.495308161,1.040160894,66.88441467,55.83854294,5057.327148,201.1109314,4726.065918,237.648056,1.237226486,51.74343872,53.25664902,150.5347748,382.9866638,171.8722229,44558.39453,477.4996033,41886.34375,890.0644531,122.4395142,352.5778198,405.3878784,631.7385254,-1.787006736,-2490.555664,-95678.55469,10.99262047,-23671.44336,4.079339027,-0.011908162,-0.032242548,2.076757431,2.239412546
9100,-9.412500381,48.35000229,-11.61250019,-23.5,5.487500191,8.925000191,-3.299999952,-2.587500095,-7.387500286,122.7125015,13.47500038,81.78749847,60.73749924,113.2375031,264.3374939,21.85000038,-24.92500114,1.375,-79.8125,6.974999905,228.8375092,8.324999809,245.9250031,6.5,200.2250061,-117.3250046,45.48749924,140.4499969,15.67500019,58.4375,-74.16249847,165.5,19.67500114,114.7750015,-4.25,19.30000114,10.44999981,-77.1875,1.375,-0.0625,-17.80000114,-5.974999905,3.587500095,74.11250305,-8.237500191,1.175000072,4.612500191,-5.900000095,2.725000143,47,47,0,48.35000229,11.61250019,0,0,9.412500381,0,5.487500191,0,8.925000191,0,23.5,122.7125015,0,0,0,18.56060028,0,0,0,81.78749847,0,0,30.15408325,113.2375031,0,164.1725616,21.85000038,2.468334675,0,0,0,0,1.375,77.18824768,0,0,6.974999905,0,0,0,17.98728943,8.324999809,0,74.02788544,6.5,4.472046852,0,75.45295715,6525.074219,6594.347168,62.81893158,4323.416992,28.86333656,701.3035889,706.1859131,570.9639282,569.1481323,8.103405952,3819.657227,1052.53772,16.22073746,484.677002,3.171969414,29.0114212,34.7305069,1.452513933,13.90755367,63.96350479,57.02596664,4565.288574,187.5584869,4262.844238,231.7729797,1.830591559,52.01394272,50.56100845,122.5433121,436.0792236,196.2620392,48723.22266,1429.663574,47697.17578,1345.32605,277.241394,390.5501099,689.5622559,2965.151123,-0.682215095,-3746.287598,-65254.96094,10.57565022,-47157.83984,5.926390648,-0.500438511,12.32927418,1.168542981,24.5214386
9101,-9.5625,48.35000229,-11.63749981,-23.51250076,6.087500095,9.037500381,-3.299999952,-2.587500095,-7.387500286,159.8375092,15.36250019,82.20000458,61.33750153,98.6875,-40.96250153,23.26250076,-24.46249962,1.375,-79.92500305,6.987500191,227.5375061,8.737500191,247.5749969,7.087500095,197.7125092,-123.1750031,15.375,166.8000031,15.23750019,59.45000076,-74.51250458,-143.9125061,55.70000076,105.5500031,-4.375,20.63750076,10.98750019,-77.20000458,1.375,-0.0625,-17.28750038,-6.037499905,3.512500048,74.1875,-8.675000191,1,4.224999905,-6.575000286,2.637500048,49,46,0,48.35000229,11.63749981,0,0,9.5625,0,6.087500095,0,9.037500381,0,23.51250076,159.8375092,0,0,0,24.3795929,0,0,0,82.20000458,0,0,31.71048927,98.6875,0,74.27890778,23.26250076,2.368569851,0,0,0,0,1.375,77.20075226,0,0,6.987500191,0,0,0,17.47279358,8.737500191,0,74.11164856,7.087500095,4.073473454,0,81.69725037,4905.214844,4502.640137,59.67252731,2724.632813,27.16741371,727.1777954,693.4783936,593.8998413,561.874939,10.76733971,2205.851074,723.5773926,14.23941708,312.7792969,2.357816696,21.58620644,40.52482224,4.39232254,18.29538918,59.96644974,60.42477036,3841.96875,174.1095276,4110.680664,226.4297485,1.237949014,52.40760422,47.42024231,80.76358795,516.6338501,524.9484863,71661.89063,1511.612671,30484.10938,1997.180176,277.2928772,315.523407,1616.43042,4453.647949,-0.313093692,-2317.22998,-39092.80469,2.547184229,1523.671143,5.40939188,-0.0049604,12.18558693,1.838494658,20.28750229
9102,-9.699999809,48.29999924,-11.6875,-23.51250076,6.712500095,9.162500381,-3.287500143,-2.587500095,-7.387500286,164.8125,209.3125,82.53749847,61.97500229,49.17499924,-22.53750038,24.76250076,-23.92500114,1.375,-80.03749847,6.987500191,226.4750061,9.125,249.4499969,7.575000286,196.6374969,-116.1875,-12.61250019,-171.4750061,14.72500038,60.33750153,-74.78749847,-49.35000229,45.9375,19.95000076,-4.512500286,22.07500076,11.51249981,-77.21250153,1.375,-0.0625,-16.73750114,-6.075000286,3.450000048,74.20000458,-9.087500572,0.75,3.900000095,-7.087500095,2.650000095,51,44,0,48.29999924,11.6875,0,0,9.699999809,0,6.712500095,0,9.162500381,0,23.51250076,0,164.8125,0,0,4.181199551,0,0,0,82.53749847,0,0,33.18851471,49.17499924,0,40.82386017,24.76250076,2.259580851,0,0,0,0,1.375,77.21324921,0,0,6.987500191,0,0,0,16.92062759,9.125,0,74.14040375,7.575000286,3.735858679,0,78.5267868,4244.392578,3720.742432,63.99142838,2345.843262,29.26160431,747.1596069,670.8342896,615.5640869,537.956543,9.295274734,1165.738647,652.4157715,16.41381264,233.6960907,3.150302649,28.14453888,23.85819626,2.968573093,11.06223297,56.8985939,63.3061409,3632.484619,163.8067322,4224.698242,223.6452332,0.168867186,56.77522278,47.75230789,63.57826996,385.2958069,394.7123413,20743.02148,1120.795776,14431.01465,1103.56958,122.5824585,559.0577393,859.286499,2320.407471,1.473974943,-1110.171875,-36887.71875,6.941218853,16087.19238,6.746786118,-0.01106695,6.497109413,1.549013495,8.690547943
