,min,max
Wrist to Hip Distance,15.705309203318489,22.571885143253947
Shoulder Angle,25.615581331787816,34.18201851338318
Trunk Rotation,159.67246309287862,170.45940283672869
Wrist Flexion,3.8099237537128667,61.03383043613119
Impact Height,208.3849108846564,215.59988239537114
Step Distance,70.28112200681817,71.72897824780581
Knee Flexion,176.045079673089,176.3113828220528
